// General information: 
//  MT Manager version: 2019.2.0 
//  XDA version: 2019.2.0 build 3853 rev 94535 built on 2019-09-09
// Device information: 
//  DeviceId: 0770102F
//  ProductCode: MTi-G-710-2A8G0
//  Firmware Version: 1.4.2
//  Hardware Version: 2.1.0
// Device settings: 
//  Filter Profile: General(1.18)
//  Option Flags: Orientation Smoother Disabled, AHS Disabled, ICC Disabled
//  GNSS Platform: Portable
// Coordinate system: ENU
PacketCounter UTC_Nano UTC_Year UTC_Month UTC_Day UTC_Hour UTC_Minute UTC_Second UTC_Valid Acc_X Acc_Y Acc_Z Gyr_X Gyr_Y Gyr_Z
29512 875400000 2022 2 2 14 36 34 55 0.072192 0.028565 9.493372 -0.000097 -0.001940 -0.004262
29513 885400000 2022 2 2 14 36 34 55 0.077497 0.020711 9.488438 -0.002997 -0.001552 -0.001917
29514 895400000 2022 2 2 14 36 34 55 0.062084 0.042242 9.486090 -0.000885 -0.002113 -0.003981
29515 905400000 2022 2 2 14 36 34 55 0.049235 0.042362 9.468789 0.001071 -0.001336 -0.001014
29516 915400000 2022 2 2 14 36 34 55 0.055216 0.028629 9.470965 0.000503 -0.000651 0.000123
29517 925400000 2022 2 2 14 36 34 55 0.069535 0.018136 9.492387 0.000927 -0.002139 -0.003725
29518 935400000 2022 2 2 14 36 34 55 0.059896 0.034079 9.469136 0.001613 -0.001135 -0.002156
29519 945400000 2022 2 2 14 36 34 55 0.072516 0.033947 9.466204 0.000473 -0.000816 -0.002481
29520 955400000 2022 2 2 14 36 34 55 0.065053 0.026443 9.484763 0.002504 -0.002805 -0.003360
29521 965400000 2022 2 2 14 36 34 55 0.057771 0.045137 9.489340 0.001057 0.000808 0.000794
29522 975400000 2022 2 2 14 36 34 55 0.070330 0.044450 9.501258 -0.000239 -0.000399 -0.000699
29523 985400000 2022 2 2 14 36 34 55 0.084141 0.031490 9.485725 -0.002516 -0.000665 -0.001599
29524 995400000 2022 2 2 14 36 34 55 0.080193 0.023379 9.478046 0.001579 0.001552 -0.003702
29525 5400000 2022 2 2 14 36 35 55 0.075040 0.024268 9.465425 0.001846 -0.000225 -0.003694
29526 15400000 2022 2 2 14 36 35 55 0.063098 0.038796 9.468415 0.000979 -0.002179 -0.002117
29527 25400000 2022 2 2 14 36 35 55 0.083104 0.020488 9.481862 -0.000013 -0.003699 -0.004755
